Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Select Investors 1,Select Investors 2,Select Investors 3,Select Investors 4,Number of Investors
Immutable,$3B,3/7/2022,Fintech,Sydney,Australia,Oceania,2018,$280M,"Fabric Ventures, AirTree Ventures, Temasek",Fabric Ventures, AirTree Ventures, Temasek,,3
Infra.Market,$3B,2/25/2021,E-commerce & direct-to-consumer,Thane,India,Asia,2016,$274M,"Accel, Tiger Global Management, Nexus Venture Partners",Accel, Tiger Global Management, Nexus Venture Partners,,3
Side,$3B,3/22/2021,Internet software & services,San Francisco,United States,North America,2017,$314M,"Coatue Managemeny, Trinity Ventures, Matrix Partners",Coatue Managemeny, Trinity Ventures, Matrix Partners,,3
SiFive,$3B,3/16/2022,Hardware,San Mateo,United States,North America,2015,$366M,"Sutter Hill Ventures, Osage University Partners, Spark Capital",Sutter Hill Ventures, Osage University Partners, Spark Capital,,3
Somatus,$3B,2/23/2022,Health,McLean,United States,North America,2016,$465M,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",The Blue Venture Fund, Flare Capital Partners, Longitude Capital,,3
Sysdig,$3B,4/28/2021,Cybersecurity,San Francisco,United States,North America,2013,$730M,"Accel, Bain Capital Ventures, Insight Partners",Accel, Bain Capital Ventures, Insight Partners,,3
Uniphore,$3B,2/16/2022,Artificial Intelligence,Palo Alto,United States,North America,2008,$607M,"Chiratae Ventures, March Capital Partners, National Grid Partners",Chiratae Ventures, March Capital Partners, National Grid Partners,,3
Varo Bank,$3B,9/9/2021,Fintech,San Francisco,United States,North America,2015,$987M,"Warburg Pincus, The Rise Fund, HarbourVest Partners",Warburg Pincus, The Rise Fund, HarbourVest Partners,,3
Vercel,$3B,6/23/2021,Internet software & services,San Francisco,United States,North America,2015,$313M,"CRV, Accel, Google Ventures",CRV, Accel, Google Ventures,,3
Oura,$3B,4/5/2022,Health,Oulu,Finland,Europe,2013,$148M,"Forerunner Ventures, Lifeline Ventures, MSD Capital",Forerunner Ventures, Lifeline Ventures, MSD Capital,,3
Unacademy,$3B,9/2/2020,Edtech,Bengaluru,India,Asia,2015,$789M,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",Blume Ventures, Nexus Venture Partners, Sequoia Capital India,,3
Axonius,$3B,3/1/2021,Cybersecurity,New York,United States,North America,2017,$395M,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",Vertex Ventures Israel, Bessemer Venture Partners, Emerge,,3
Clari,$3B,3/3/2021,Internet software & services,Sunnyvale,United States,North America,2012,$496M,"Sequoia Capital, Bain Capital Ventures, enaya Capital",Sequoia Capital, Bain Capital Ventures, enaya Capital,,3
ManoMano,$3B,7/5/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2013,$706M,"General Atlantic, Piton Capital, Partech Partners",General Atlantic, Piton Capital, Partech Partners,,3
Pendo,$3B,10/17/2019,Internet software & services,Raleigh,United States,North America,2013,$357M,"Contour Venture Partners, Battery Ventures, Core Capital Partners",Contour Venture Partners, Battery Ventures, Core Capital Partners,,3
Plume,$3B,2/23/2021,Internet software & services,Palo Alto,United States,North America,2015,$722M,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures,,3
JumpCloud,$3B,9/13/2021,Data management & analytics,Louisville,United States,North America,2012,$407M,"Foundry Group, General Atlantic, BlackRock",Foundry Group, General Atlantic, BlackRock,,3
Project44,$3B,6/1/2021,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,$818M,"Emergence Capital Partners, 8VC, Chicago Ventures",Emergence Capital Partners, 8VC, Chicago Ventures,,3
Sourcegraph,$3B,7/13/2021,Internet software & services,San Francisco,United States,North America,2013,$248M,"Redpoint Ventures, Goldcrest Capital, Insight Partners",Redpoint Ventures, Goldcrest Capital, Insight Partners,,3
OwnBackup,$3B,1/28/2021,Data management & analytics,Englewood Cliffs,United States,North America,2015,$507M,"Insight Partners, Salesforce Ventures, Vertex Ventures",Insight Partners, Salesforce Ventures, Vertex Ventures,,3
Starburst,$3B,1/6/2021,Data management & analytics,Boston,United States,North America,1999,$414M,"Index Ventures, Coatue Management, Andreessen Horowitz",Index Ventures, Coatue Management, Andreessen Horowitz,,3
Youxia Motors,$3B,4/2/2018,Auto & transportation,Shanghai,China,Asia,2014,$1B,"China Environmental Protection Industry, China Fortune Ocean",China Environmental Protection Industry, China Fortune Ocean,,,2
Zetwerk,$3B,8/20/2021,Internet software & services,Bengaluru,India,Asia,2018,$543M,"Sequoia Capital India, Kae Capital, Accel",Sequoia Capital India, Kae Capital, Accel,,3
Cars24,$3B,11/24/2020,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$1B,"Moore Strategic Ventures, DST Global, Sequoia Capital India",Moore Strategic Ventures, DST Global, Sequoia Capital India,,3
Ethos,$3B,5/11/2021,Fintech,San Francisco,United States,North America,2016,$407M,"Sequoia Capital, Google Ventures, Accel",Sequoia Capital, Google Ventures, Accel,,3
Komodo Health,$3B,5/22/2020,Health,San Francisco,United States,North America,2014,$314M,"Andreessen Horowitz, IA Ventures, Felicis Ventures",Andreessen Horowitz, IA Ventures, Felicis Ventures,,3
Nextiva,$3B,9/14/2021,Internet software & services,Scottsdale,United States,North America,2008,$200M,Goldman Sachs Asset Management,Goldman Sachs Asset Management,,,,1
o9 Solutions,$3B,4/28/2020,Artificial intelligence,Dallas,United States,North America,2009,$417M,KKR,KKR,,,,1
Scopely,$3B,10/29/2019,Mobile & telecommunications,Culver City,United States,North America,2011,$999M,"Greycroft, Sands Capital, Revolution Growth",Greycroft, Sands Capital, Revolution Growth,,3
Sila Nanotechnologies,$3B,4/16/2019,Other,Alameda,United States,North America,2011,$880M,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners,,3
Via,$3B,3/30/2020,Auto & transportation,New York,United States,North America,2012,$777M,"83North, RiverPark Ventures, Pitango Venture Capital",83North, RiverPark Ventures, Pitango Venture Capital,,3
Transmit Security,$3B,6/22/2021,Cybersecurity,Tel Aviv,Israel,Asia,2014,$583M,"General Atlantic, Insight Partners, Vintage Investment Partners",General Atlantic, Insight Partners, Vintage Investment Partners,,3
BlockDaemon,$3B,9/21/2021,Fintech,Los Angeles,United States,North America,2016,$398M,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",BOLDstart Ventures, Lerer Hippeau, Kenetic Capital,,3
Convoy,$3B,9/21/2018,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,$666M,"Greylock Partners, capitalG, Y Combinator",Greylock Partners, capitalG, Y Combinator,,3
Dream Games,$3B,6/30/2021,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,$468M,"Makers Fund, Index Ventures, Inova Ventures Participacees",Makers Fund, Index Ventures, Inova Ventures Participacees,,3
Illumio,$3B,4/14/2015,Cybersecurity,Sunnyvale,United States,North America,2013,$558M,"Data Collective, Formation 8, General Catalyst Partners",Data Collective, Formation 8, General Catalyst Partners,,3
MasterClass,$3B,5/13/2021,Edtech,San Francisco,United States,North America,2015,$461M,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners,,3
Graphcore,$3B,12/18/2018,Artificial intelligence,Bristol,United Kingdom,Europe,2016,$682M,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners,,3
ApplyBoard,$3B,5/5/2020,Edtech,Kitchener,Canada,North America,2015,$483M,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",Artiman Ventures, Plug and Play Ventures, Anthos Capital,,3
Blockstream,$3B,8/24/2021,Fintech,Vancouver,Canada,North America,2014,$299M,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital,,3
Cedar,$3B,3/9/2021,Fintech,New York,United States,North America,2016,$326M,"Thrive Capital, Founders Fund, Cocnord Health Partners",Thrive Capital, Founders Fund, Cocnord Health Partners,,3
ContentSquare,$3B,5/25/2021,Internet software & services,Paris,France,Europe,2012,$812M,"Highland Europe, Eurazeo, Canaan Partners",Highland Europe, Eurazeo, Canaan Partners,,3
Eruditus Executive Education,$3B,8/12/2021,Edtech,Mumbai,India,Asia,2010,$591M,"Sequoia Capital India, Softbank, Bertelsmann India Investments",Sequoia Capital India, Softbank, Bertelsmann India Investments,,3
Innovaccer,$3B,2/19/2021,Health,San Francisco,United States,North America,2014,$379M,"M12, WestBridge Capital, Lightspeed Venture Partners",M12, WestBridge Capital, Lightspeed Venture Partners,,3
Ironclad,$3B,1/18/2022,Internet software & services,Sacramento,United States,North America,2014,$334M,"Accel, Sequoia Capital, Y Combinator",Accel, Sequoia Capital, Y Combinator,,3
Skims,$3B,4/9/2021,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,$399M,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",Thrive Capital, Alliance Consumer Growth, Imaginary Ventures,,3
Thumbtack,$3B,9/29/2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,$698M,"Tiger Global, Sequoia Capital, Google Capital",Tiger Global, Sequoia Capital, Google Capital,,3
Zipline,$3B,5/20/2019,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,$483M,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",Sequoia Capital, Baillie Gifford & Co., Google Ventures,,3
BharatPe,$3B,7/30/2021,Fintech,New Delhi,India,Asia,2018,$600M,"Insight Partners, Sequoia Capital India, BEENEXT",Insight Partners, Sequoia Capital India, BEENEXT,,3
DriveWealth,$3B,8/20/2021,Fintech,Chatham,United States,North America,2012,$551M,"Point72 Ventures, Route 66 Ventures, Accel",Point72 Ventures, Route 66 Ventures, Accel,,3
Flink Food,$3B,12/1/2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,$1B,"Mubadala Capital, Bond, Prosus Ventures",Mubadala Capital, Bond, Prosus Ventures,,3
PsiQuantum,$3B,7/27/2021,Hardware,Palo Alto,United States,North America,2016,$665M,"Playground Global, M12, BlackRock",Playground Global, M12, BlackRock,,3
SpotOn,$3B,5/26/2021,Fintech,San Francisco,United States,North America,2017,$628M,"Dragoneer Investment Group, DST Global, Franklin Templeton",Dragoneer Investment Group, DST Global, Franklin Templeton,,3
Gorillas,$3B,3/25/2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$1B,"Coatue Management, Atlantic Food Labs, DST Global",Coatue Management, Atlantic Food Labs, DST Global,,3
HighRadius,$3B,1/7/2020,Fintech,Houston,United States,North America,2006,$475M,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital,,3
Loft,$3B,1/3/2020,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,$788M,"Monashees+, Andreessen Horowitz, QED Investors",Monashees+, Andreessen Horowitz, QED Investors,,3
Nuvemshop,$3B,8/17/2021,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,$628M,"Kaszek Ventures, Qualcomm Ventures, Accel",Kaszek Ventures, Qualcomm Ventures, Accel,,3
Udaan,$3B,9/4/2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,$1B,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",DST Global, Lightspeed Venture Partners, Microsoft ScaleUp,,3
Workrise,$3B,9/30/2019,Internet software & services,Austin,United States,North America,2014,$722M,"Founders Fund, Quantum Energy Partners, Bedrock Capital",Founders Fund, Quantum Energy Partners, Bedrock Capital,,3
ActiveCampaign,$3B,4/21/2021,Internet software & services,Chicago,United States,North America,2003,$360M,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management,,3
Age of Learning,$3B,5/3/2016,Edtech,Glendale,United States,North America,2007,$500M,Iconiq Capital,Iconiq Capital,,,,1
Amber Group,$3B,6/21/2021,Fintech,,Hong Kong,Asia,2015,$328M,"Tiger Global Management, Tiger Brokers, DCM Ventures",Tiger Global Management, Tiger Brokers, DCM Ventures,,3
Anchorage Digital,$3B,12/15/2021,Fintech,San Francisco,United States,North America,2017,$487M,"Andreessen Horowitz, Blockchain Capital, Lux Capital",Andreessen Horowitz, Blockchain Capital, Lux Capital,,3
BlockFi,$3B,3/11/2021,Fintech,Jersey City,United States,North America,2017,$1B,"ConsenSys Ventures, Valar Ventures, PUC",ConsenSys Ventures, Valar Ventures, PUC,,3
Calendly,$3B,1/26/2021,Internet software & services,Atlanta,United States,North America,2013,$351M,"ICONIQ Capital, OpenView Venture Partners",ICONIQ Capital, OpenView Venture Partners,,,2
Carbon Health,$3B,7/21/2021,Health,San Francisco,United States,North America,2015,$523M,"Brookfield Asset Management, Blackstone, Data Collective",Brookfield Asset Management, Blackstone, Data Collective,,3
Circle,$3B,5/15/2018,Fintech,Boston,United States,North America,2013,$711M,"General Catalyst, Digital Currency Group, Accel",General Catalyst, Digital Currency Group, Accel,,3
CMR Surgical,$3B,9/17/2019,Health,Cambridge,United Kingdom,Europe,2014,$975M,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",Cambridge Innovation Capital, LGT Capital Partners, Escala Capital,,3
Contentful,$3B,7/28/2021,Internet software & services,Berlin,Germany,Europe,2013,$333M,"Balderton Capital, General Catalyst, Tiger Global Management",Balderton Capital, General Catalyst, Tiger Global Management,,3
Cross River Bank,$3B,2/11/2022,Fintech,Fort Lee,United States,North America,2008,$775M,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",Battery Ventures, Andreessen Horowitz, Ribbit Capital,,3
Delhivery,$3B,2/27/2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,$1B,"Times Internet, Nexus Venture Partners, SoftBank Group",Times Internet, Nexus Venture Partners, SoftBank Group,,3
FlixBus,$3B,7/18/2019,Auto & transportation,Munich,Germany,Europe,2013,$1B,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic,,3
Flutterwave,$3B,3/9/2021,Fintech,San Francisco,United States,North America,2016,$474M,"Green Visor Capital, CRE Venture Capital, Greycroft",Green Visor Capital, CRE Venture Capital, Greycroft,,3
Forter,$3B,11/19/2020,Cybersecurity,New York,United States,North America,2013,$525M,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures,,3
Grafana Labs,$3B,3/25/2021,Internet software & services,New York,United States,North America,2014,$535M,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",Lightspeed Venture Partners, Lead Edge Capital, Coatue Management,,3
Groww,$3B,4/7/2021,Fintech,Bengaluru,India,Asia,2017,$393M,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",Tiger Global Management, Sequoia Capital India, Ribbit Capital,,3
Inxeption,$3B,1/13/2022,Fintech,San Francisco,United States,North America,2017,$187M,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",Coatue Management, BMO Capital, Schonfeld Strategic Advisors,,3
KK Group,$3B,10/23/2019,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,$612M,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group,,3
Lattice,$3B,3/23/2021,Internet software & services,San Francisco,United States,North America,2015,$329M,"Khosla Ventures, Thrive Capital, Y Combinator",Khosla Ventures, Thrive Capital, Y Combinator,,3
LaunchDarkly,$3B,8/10/2021,Internet software & services,Oakland,United States,North America,2014,$330M,"Uncork Capital, Threshold Ventures, Bloomberg Beta",Uncork Capital, Threshold Ventures, Bloomberg Beta,,3
Lucid,$3B,6/29/2021,Internet software & services,South Jordan,United States,North America,2010,$170M,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",Spectrum Equity, ICONIQ Capital, Grayhawk Capital,,3
Outschool,$3B,4/14/2021,Edtech,San Francisco,United States,North America,2015,$240M,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital,,3
Podium,$3B,4/7/2020,Internet software & services,Lehi,United States,North America,2014,$419M,"Accel, Summit Partners, Google Ventures",Accel, Summit Partners, Google Ventures,,3
Remote,$3B,7/13/2021,Fintech,San Francisco,United States,North America,2016,$496M,"Index Ventures, Sequoia Capital, General Catalyst",Index Ventures, Sequoia Capital, General Catalyst,,3
Seismic,$3B,12/18/2018,Internet software & services,San Diego,United States,North America,2010,$427M,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners,,3
Sky Mavis,$3B,10/4/2021,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,$311M,"Fabric Ventures, 500 Global, Standard Crypto",Fabric Ventures, 500 Global, Standard Crypto,,3
SouChe Holdings,$3B,11/1/2017,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,$1B,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund,,3
TradingView,$3B,10/14/2021,Fintech,Westerville,United States,North America,2011,$339M,"Tiger Global Management, Insight Partners, Jump Capital",Tiger Global Management, Insight Partners, Jump Capital,,3
Traveloka,$3B,1/1/2017,Travel,Jakarta,Indonesia,Asia,2012,$1B,"Global Founders Capital, East Ventures, Expedia Inc.",Global Founders Capital, East Ventures, Expedia Inc.,,3
wefox,$3B,3/5/2019,Fintech,Berlin,Germany,Europe,2014,$919M,"Salesforce Ventures, Seedcamp, OMERS Ventures",Salesforce Ventures, Seedcamp, OMERS Ventures,,3
Wildlife Studios,$3B,12/5/2019,Other,Sao Paulo,Brazil,South America,2011,$180M,"Benchmark, Bessemer Venture Partners",Benchmark, Bessemer Venture Partners,,,2
1047 Games,$2B,9/14/2021,Internet software & services,Zephyr Cove,United States,North America,2017,$127M,"VGames, Lakestar, Galaxy Interactive",VGames, Lakestar, Galaxy Interactive,,3
Baiwang,$2B,3/25/2019,Fintech,Beijing,China,Asia,2015,$224M,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital,,3
Boba,$2B,4/5/2022,Fintech,San Francisco,United States,North America,2018,$45M,"DeFi Technologies, Hypersphere Ventures, M13",DeFi Technologies, Hypersphere Ventures, M13,,3
Bought By Many,$2B,6/1/2021,Fintech,London,United Kingdom,Europe,2012,$477M,"Octopus Ventures, Munich Re Ventures, CommerzVentures",Octopus Ventures, Munich Re Ventures, CommerzVentures,,3
Cambridge Mobile Telematics,$2B,12/19/2018,Mobile & telecommunications,Cambridge,United States,North America,2010,$503M,SoftBank Group,SoftBank Group,,,,1
Carzone,$2B,3/1/2019,E-commerce & direct-to-consumer,Jiangsu,China,Asia,1995,$946M,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital,,3
CFGI,$2B,9/15/2021,Fintech,Boston,United States,North America,2000,$19M,"The Carlyle Group, CVC Capital Partners",The Carlyle Group, CVC Capital Partners,,,2
Cgtz,$2B,2/21/2017,Fintech,Hangzhou,China,Asia,2014,$536M,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund,,3
Changingedu,$2B,10/30/2017,Edtech,Shanghai,China,Asia,2014,$188M,"Trustbridge Partners, IDG Capital, Sequoia Capital China",Trustbridge Partners, IDG Capital, Sequoia Capital China,,3
eDaili,$2B,2/1/2019,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,$101M,"K2VC, Lightspeed China Partners, Sky9 Capital",K2VC, Lightspeed China Partners, Sky9 Capital,,3
ENOVATE,$2B,4/15/2019,Auto & transportation,Shanghai,China,Asia,2015,$1B,Automobile Industry Guidance Fund,Automobile Industry Guidance Fund,,,,1
Fenbi Education,$2B,2/7/2021,Edtech,Beijing,China,Asia,2015,$390M,"Trustbridge Partners, Hony Capital, IDG Capital",Trustbridge Partners, Hony Capital, IDG Capital,,3
Hesai Tech,$2B,8/1/2020,Artificial intelligence,Shanghai,China,Asia,2013,$717M,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners,,3
Il Makiage,$2B,1/10/2022,E-commerce & direct-to-consumer,New York,United States,North America,2018,$29M,"L Catterton, Franklin Templeton, First Light Capital Group",L Catterton, Franklin Templeton, First Light Capital Group,,3
Iluvatar CoreX,$2B,3/1/2021,Hardware,Shanghai,China,Asia,2015,$186M,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital,,3
Jusfoun Big Data,$2B,7/9/2018,Data management & analytics,Beijing,China,Asia,2010,$137M,"Boxin Capital, DT Capital Partners, IDG Capital",Boxin Capital, DT Capital Partners, IDG Capital,,3
Pagaya,$2B,6/17/2020,Fintech,Tel Aviv,Israel,Asia,2015,$417M,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office",Oak HC/FT Partners, GF Investments, Harvey Golub Family Office,,3
PolicyBazaar,$2B,5/6/2019,Fintech,Gurgaon,India,Asia,2008,$634M,"Info Edge, Softbank Capital",Info Edge, Softbank Capital,,,2
Promasidor Holdings,$2B,11/8/2016,Consumer & retail,Bryanston,South Africa,Asia,1979,$556M,"IFC, Ajinomoto",IFC, Ajinomoto,,,2
Tubatu.com,$2B,3/9/2015,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$216M,"Sequoia Capital China, Matrix Partners China, 58.com",Sequoia Capital China, Matrix Partners China, 58.com,,3
Ximalaya FM,$2B,9/22/2017,Mobile & telecommunications,Shanghai,China,Asia,2012,$71M,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",China Creation Ventures, Sierra Ventures, Xingwang Investment Management,,3
HEYTEA,$2B,7/1/2019,Other,Shenzhen,China,Asia,2012,$594M,"Sequoia Capital China, Tencent Investment, BA Capital",Sequoia Capital China, Tencent Investment, BA Capital,,3
BGL Group,$2B,11/24/2017,Fintech,Peterborough,United Kingdom,Europe,1992,$696M,CPP Investment Board,CPP Investment Board,,,,1
Claroty,$2B,6/17/2021,Cybersecurity,New York,United States,North America,2015,$640M,"Bessemer Venture Partners, MoreVC, Team8",Bessemer Venture Partners, MoreVC, Team8,,3
Improbable,$2B,5/11/2017,Other,London,United Kingdom,Europe,2012,$754M,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",Andreessen Horowitz, SoftBank Group, Temasek Holdings,,3
InMobi,$2B,12/2/2014,Mobile & telecommunications,Bengaluru,India,Asia,2007,$221M,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures,,3
MindMaze,$2B,1/28/2016,Health,Lausanne,Switzerland,Europe,2012,$340M,Hinduja Group,Hinduja Group,,,,1
Ninja Van,$2B,9/27/2021,"Supply chain, logistics, & delivery",,Singapore,Asia,2014,$975M,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution",B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution,,3
Pantheon Systems,$2B,7/13/2021,Internet software & services,San Francisco,United States,North America,2010,$200M,"Foundry Group, Scale Venture Partners, SoftBank Group",Foundry Group, Scale Venture Partners, SoftBank Group,,3
SellerX,$2B,12/9/2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$766M,"Cherry Ventures, Felix Capital, 83North",Cherry Ventures, Felix Capital, 83North,,3
AppDirect,$2B,10/7/2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2009,$431M,"Mithril, iNovia Capital, Foundry Group",Mithril, iNovia Capital, Foundry Group,,3
BrewDog,$2B,4/10/2017,Consumer & retail,Aberdeen,United Kingdom,Europe,2007,$233M,"TSG Consumer Partners, Crowdcube",TSG Consumer Partners, Crowdcube,,,2
Enflame,$2B,1/5/2021,Hardware,Shanghai,China,Asia,2018,$472M,"Tencent Holdings, Delta Capital, Redpoint Ventures China",Tencent Holdings, Delta Capital, Redpoint Ventures China,,3
Tradeshift,$2B,5/30/2018,Fintech,San Francisco,United States,North America,2009,$861M,"Notion Capital, Scentan Ventures, Kite Ventures",Notion Capital, Scentan Ventures, Kite Ventures,,3
HeartFlow,$2B,12/4/2017,Health,Redwood City,United States,North America,2007,$568M,"BlueCross BlueShield Venture Partners, US Venture Partners",BlueCross BlueShield Venture Partners, US Venture Partners,,,2
Extend,$2B,5/18/2021,Fintech,San Francisco,United States,North America,2004,$320M,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures,,3
Airbyte,$2B,12/17/2021,Internet software & services,San Francisco,United States,North America,2020,$181M,"Accel, Benchmark, SV Angel",Accel, Benchmark, SV Angel,,3
Andela,$2B,9/29/2021,Internet software & services,New York,United States,North America,2014,$381M,"Spark Capital, Google Ventures, CRE Venture Capital",Spark Capital, Google Ventures, CRE Venture Capital,,3
Ascend Money,$2B,9/27/2021,Fintech,Bangkok,Thailand,Asia,2013,$150M,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",Ant Group, Charoen Pokphand Group, Bow Wave Capital,,3
Athelas,$2B,1/31/2022,Health,Mountain View,United States,North America,2016,$150M,"Sequoia Capital, General Catalyst, Human Capital",Sequoia Capital, General Catalyst, Human Capital,,3
Built,$2B,9/30/2021,Internet software & services,Nashville,United States,North America,2015,$289M,"Nyca Partners, Index Ventures, Technology Crossover Ventures",Nyca Partners, Index Ventures, Technology Crossover Ventures,,3
candy.com,$2B,10/21/2021,Fintech,New York,United States,North America,2021,$100M,"Insight Partners, Softbank Group, Connect Ventures",Insight Partners, Softbank Group, Connect Ventures,,3
Cognite,$2B,5/19/2021,Data management & analytics,Lysaker,Norway,Europe,2016,$225M,"Technology Crossover Ventures, Accel, Aker",Technology Crossover Ventures, Accel, Aker,,3
CoinList,$2B,10/15/2021,Fintech,San Francisco,United States,North America,2017,$119M,"Accomplice, Polychain Capital, GoldenTree Asset Management",Accomplice, Polychain Capital, GoldenTree Asset Management,,3
Collective Health,$2B,6/17/2019,Fintech,San Francisco,United States,North America,2013,$719M,"New Enterprise Associates, Founders Fund, Google Ventures",New Enterprise Associates, Founders Fund, Google Ventures,,3
Culture Amp,$2B,7/29/2021,Internet software & services,Richmond,Australia,Oceania,2011,$257M,"Felicis Ventures, Index Ventures, Blackbird Ventures",Felicis Ventures, Index Ventures, Blackbird Ventures,,3
Devo,$2B,10/26/2021,Data management & analytics,Cambridge,United States,North America,2011,$381M,"Insight Partners, Kibo Ventures, Bessemer Venture Partners",Insight Partners, Kibo Ventures, Bessemer Venture Partners,,3
ElasticRun,$2B,2/7/2022,"Supply chain, logistics, & delivery",Pune,India,Asia,2016,$435M,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures",Kalaari Capital, Norwest Venture Partners, Prosus Ventures,,3
Gett,$2B,5/24/2016,Auto & transportation,London,United Kingdom,Europe,2010,$828M,"Volkswagen, Access Industries, Vostok New Ventures",Volkswagen, Access Industries, Vostok New Ventures,,3
ID.me,$2B,3/19/2021,Cybersecurity,McLean,United States,North America,2010,$142M,"Moonshots Capital, BoxGroup, Blu Venture Investors",Moonshots Capital, BoxGroup, Blu Venture Investors,,3
